司马懿,曹芳,老师,魏,unknown
曹馥,曹洪,儿子,unknown,魏
荀粲,曹洪,女婿,unknown,魏
曹鼎,曹洪,伯父,unknown,魏
曹丕,曹洪,侄子,魏,魏
曹操,曹洪,堂兄,魏,魏
荀彧,曹洪,亲家公,魏,魏
陈温,曹洪,好友,unknown,魏
曹丕,曹鉴,父亲,魏,unknown
曹操,曹鉴,祖父,魏,unknown
武宣卞皇后,曹鉴,祖母,unknown,unknown
曹熊,曹鉴,叔父,unknown,unknown
曹彰,曹鉴,叔父,魏,unknown
曹植,曹鉴,叔父,魏,unknown
清河公主,曹鉴,姑母,unknown,unknown
曹节,曹鉴,姑母,unknown,unknown
曹赞,曹林,儿子,unknown,unknown
曹壹,曹林,儿子,unknown,unknown
曹纬,曹林,儿子,unknown,unknown
曹操,曹林,父亲,魏,unknown
杜夫人,曹林,母亲,unknown,unknown
曹昂,曹林,哥哥,unknown,unknown
曹铄,曹林,哥哥,unknown,unknown
曹宇,曹林,哥哥,unknown,unknown
曹丕,曹林,哥哥,魏,unknown
清河公主,曹林,姐姐,unknown,unknown
金乡公主,曹林,妹妹,unknown,unknown
曹嵩,曹林,祖父,unknown,unknown
丁氏,曹林,祖母,unknown,unknown
长乐亭主,曹林,孙女,unknown,unknown
曹德,曹林,叔父,unknown,unknown
曹叡,曹林,侄子,unknown,unknown
曹协,曹林,侄子,unknown,unknown
曹霖,曹林,侄子,unknown,unknown
东乡公主,曹林,侄女,unknown,unknown
嵇绍,曹林,外曾孙子,unknown,unknown
曹楷,曹仁,儿子,unknown,魏
曹泰,曹仁,儿子,unknown,魏
曹范,曹仁,儿子,unknown,魏
曹炽,曹仁,父亲,unknown,魏
曹纯,曹仁,弟弟,魏,魏
曹褒,曹仁,祖父,unknown,魏
曹初,曹仁,孙子,unknown,魏
曹胤,曹仁,叔父,unknown,魏
曹操,曹仁,堂兄,魏,魏
曹真,曹爽,父亲,unknown,unknown
曹训,曹爽,弟弟,unknown,unknown
曹羲,曹爽,弟弟,unknown,unknown
曹彦,曹爽,弟弟,unknown,unknown
